EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
262,20180917,1,anonymized,,TRUE
263,20180917,1,anonymized,,
264,20180918,1,anonymized,,TRUE
265,20180918,1,anonymized,,
266,20180918,1,anonymized,,
267,20180919,1,anonymized,,TRUE
268,20180919,1,anonymized,,
269,20180919,1,anonymized,,
270,20180920,1,anonymized,,TRUE
271,20180920,1,anonymized,,
272,20180921,1,anonymized,,TRUE
273,20180921,1,anonymized,,
274,20180921,1,anonymized,,
275,20180924,1,anonymized,,
276,20181003,1,anonymized,,TRUE
277,20181022,1,anonymized,,
278,20181031,1,anonymized,,
279,20181101,1,anonymized,,
280,20181106,1,anonymized,,
281,20181107,1,anonymized,,
282,20181109,1,anonymized,,
283,20181114,1,anonymized,,
284,20181115,1,anonymized,,
285,20181127,1,anonymized,,
286,20181205,1,anonymized,,
287,20181205,1,anonymized,,
288,20181207,1,anonymized,,
289,20181218,1,anonymized,,
290,20181218,1,anonymized,,
291,20181221,1,anonymized,,
292,20181221,1,anonymized,,
293,20181221,1,anonymized,,
294,20181221,1,anonymized,,
295,20190107,1,anonymized,,
296,20190116,1,anonymized,,
297,20190116,1,anonymized,,
298,20190117,1,anonymized,,
299,20190121,1,anonymized,,TRUE
300,20190122,1,anonymized,,TRUE
301,20190122,1,anonymized,,
302,20190123,1,anonymized,,TRUE
303,20190123,1,anonymized,,
304,20190124,1,anonymized,,TRUE
305,20190124,1,anonymized,,
306,20190124,1,anonymized,,
307,20190125,1,anonymized,,TRUE
308,20190128,1,anonymized,,TRUE
309,20190129,1,anonymized,,TRUE
310,20190129,1,anonymized,,
311,20190129,1,anonymized,,
312,20190130,1,anonymized,,TRUE
313,20190130,1,anonymized,,
314,20190131,1,anonymized,,TRUE
315,20190131,1,anonymized,,
316,20190131,1,anonymized,,
317,20190201,1,anonymized,,TRUE
318,20190207,1,anonymized,,
319,20190214,1,anonymized,,
320,20190214,1,anonymized,,
321,20190214,1,anonymized,,
322,20190215,1,anonymized,,
323,20190222,1,anonymized,,
324,20190304,1,anonymized,,TRUE
325,20190305,1,anonymized,,TRUE
326,20190306,1,anonymized,,TRUE
327,20190307,1,anonymized,,TRUE
328,20190308,1,anonymized,,TRUE
329,20190313,1,anonymized,,
330,20190314,1,anonymized,,
331,20190318,1,anonymized,,
332,20190402,1,anonymized,,
333,20190402,1,anonymized,,
334,20190404,1,anonymized,,
335,20190410,1,anonymized,,
336,20190411,1,anonymized,,TRUE
337,20190411,1,anonymized,,
338,20190416,1,anonymized,,
339,20190417,1,anonymized,,
340,20190502,1,anonymized,,
341,20190506,1,anonymized,,
342,20190509,1,anonymized,,
343,20190513,1,anonymized,,TRUE
344,20190514,1,anonymized,,TRUE
345,20190515,1,anonymized,,TRUE
346,20190515,1,anonymized,,
347,20190515,1,anonymized,,
348,20190515,1,anonymized,,TRUE
349,20190516,1,anonymized,,TRUE
350,20190516,1,anonymized,,TRUE
351,20190517,1,anonymized,,TRUE
352,20190517,1,anonymized,,TRUE
353,20190520,1,anonymized,,TRUE
354,20190521,1,anonymized,,TRUE
355,20190522,1,anonymized,,TRUE
356,20190523,1,anonymized,,TRUE
357,20190524,1,anonymized,,TRUE
358,20190527,1,anonymized,,
359,20190527,1,anonymized,,
360,20190528,1,anonymized,,
361,20190528,1,anonymized,,TRUE
362,20190528,1,anonymized,,
363,20190529,1,anonymized,,
364,20190529,1,anonymized,,
365,20190531,1,anonymized,,
366,20190531,1,anonymized,,
367,20190531,1,anonymized,,
368,20190601,1,anonymized,,
369,20190807,1,anonymized,,
370,20190808,1,anonymized,,
371,20190819,1,anonymized,,
